,time (s),roll_deg,pitch_deg,yaw_deg,depth,vel_x_m_s,vel_y_m_s,northing_m,easting_m
0,0,-2.949144657916511,42.52226287816556,-15.96682730806611,-1.371725370909054,1.7307546065812023,5.258577625675778,-1.6089985509411195,-1.6558760777291681
1,1,-13.933761766322332,31.35905311092521,-15.565925823833366,0.46986279209744874,0.6433951393740287,5.514378872212414,-3.6567061624682524,10.884182401735375
2,2,-13.76227510494333,26.242537827002998,31.275415531235417,-0.31664857068617713,1.3892677897084464,5.472225290591481,2.258657583545604,-2.078401177674691
3,3,32.17852495156935,20.282240648949028,26.818222678510757,0.46352934593355755,2.041991907827114,5.963424941052924,-3.0913735982920065,-4.163989325874944
4,4,0.42787945332966615,33.715743893507884,51.62085528327512,-0.385787325512551,4.294539000319565,2.1140262654014745,-3.6335110868012768,-6.2504108118438255
5,5,7.965453222821303,32.522506062061,75.76465033172428,0.366693603842395,1.6764270569953021,5.845764063107592,12.902774565279561,2.1310202839881036
6,6,40.90918367440755,31.65573662468159,49.545709198774986,2.2928578251433462,1.9642258891144857,8.550541182139806,10.541752917666031,-2.6192521779734665
7,7,27.127424136546736,31.83685699214795,84.95177971400787,1.814847552488935,-1.0045019952146945,4.366299785378414,-1.0521893047431157,-1.6960779245636963
8,8,38.92440044263318,20.331269029122662,33.379879034446056,1.098784740467038,5.776496373022917,7.040351352006033,-0.2938534310696119,9.584367413860077
9,9,33.50866515542578,20.734725600139498,45.640790502592566,1.8704843810618585,3.864051516900467,6.64124201952061,-0.27263983301373984,2.2090526628469527
10,10,50.30416980442415,30.1544116748135,59.339932859028465,0.3173599867771686,0.5326034130599053,3.7993860340850794,3.544914694238709,6.843368428066826
11,11,34.55262491582933,26.735102770703445,49.82802143272049,2.0304253769095,0.9851396818393178,3.0251484172320344,-1.5275390992685356,-2.7260883581713173
12,12,44.37063656795261,16.227057945946378,81.89313318863759,0.6832663563809993,2.302627487618528,4.8455776927904965,6.762226516350326,-2.8196135125932393
13,13,39.35770318136315,32.183823356169015,86.79013259526997,1.395930253853927,3.1121737456326173,6.55735159671948,-5.813148912634389,5.983648704196549
14,14,54.09376074616087,24.179611400834993,47.5472794971174,4.059406016674309,1.585217857757827,4.911431844521517,4.225782937869997,-0.9284295275838894
15,15,70.97916389276807,16.919104382671442,99.6331820333927,4.205491813882285,-0.09876777998797381,2.323316850500797,4.347819328818105,5.045674358069617
16,16,58.63596104271678,16.356468547439015,93.59065199338113,3.1536033052410204,5.233357059450829,2.473021159248993,11.956944132765788,-0.6766067098329351
17,17,55.75667706294665,14.946442352917195,117.91634737637139,3.6971041371250726,3.7874145549473246,0.2344599441729014,6.0124100169523444,10.34282559571102
18,18,46.49841700964954,15.785097426419775,93.60590534012111,3.833979577794068,2.454133896561523,4.272299822408172,5.661186258069401,3.7965103735034527
19,19,48.384022588674064,12.888191712744103,85.13139316900042,2.957100974664031,2.476447959901339,2.049502800306592,5.862757971662242,1.9036563581643668
20,20,36.374814090860056,7.931992537844833,100.92836831203415,5.92610767934002,2.8948172455538477,3.676479847675418,7.220031398601314,4.848653356805997
21,21,41.13277409188537,18.120585672876633,100.1305564296906,4.171718912218848,-0.35417927720193143,2.971638883580435,1.0654003512272139,-1.5497485968463112
22,22,49.77410922153294,13.892205205401275,73.78146395785876,2.648960173144684,2.009182984837337,6.113896526495084,0.03453567738421093,0.11781471144992306
23,23,27.42118308808365,15.24484486931631,91.62483619287086,3.4472803208115166,2.3616557413136112,3.692569316475146,11.304258885047853,7.608534727696503
24,24,25.935060827933377,14.22367345556952,68.31574565063326,4.58482287286581,6.060960536567099,3.717916969493222,3.028370491216588,11.876256423596079
25,25,17.752849073390298,16.722426352884504,120.85764640967332,5.965246167398591,-0.7362534617915735,2.233177637227284,5.902692224413405,-0.43769761709521493
26,26,27.549651854895316,-0.8316972319914964,107.523210003241,6.002405820254018,0.43565400121983044,2.3071041009811517,2.106949997706635,8.778165216101517
27,27,25.757340442245795,1.1524966591885661,128.71925372767407,6.360052154837666,2.1897529903321793,5.633501229340579,11.02788859721548,6.681983392654733
28,28,2.419030520631395,8.127047941573743,71.41055326813017,4.924876403530636,0.5414745711125852,1.074364470746549,11.095964534362471,12.545935366150237
29,29,1.2161808442729143,5.645744719686698,73.99121295695673,5.617766590759801,2.0651423005316465,0.6100209141371171,9.155986925393261,1.7156523892120736
30,30,27.6792781110652,4.150983712980352,88.27999155941158,6.2117657182728,4.536792657125289,2.9850563335123654,3.222082451230714,7.224911531976432
31,31,-5.735344631223978,-6.335725399124953,51.55553664006315,6.51648538134905,4.1343191198889855,0.27674392595882713,-2.233608265508134,2.4534736505548294
32,32,-10.222078835727576,-0.5921468551039668,93.8006072749331,8.674475753680387,4.202006671367798,3.833768177713405,10.499243063549063,4.07555976185558
33,33,1.847277163068192,-6.149026941798484,69.15997603521434,5.239775808335638,7.276405016403173,1.868838001846103,10.210361959054035,5.022762109220746
34,34,-6.544311388599942,3.0696086109073644,61.65317749096525,5.106587723795986,7.00533988767492,2.093335302872972,-4.083621488728342,7.229291491723263
35,35,-15.45488504858097,-3.731455374550155,16.46438893816005,6.094705953224425,8.840676759007696,0.8349172725190187,9.56435745505977,1.2019555301160079
36,36,-16.62284062556558,-15.165148902393762,69.39626714156424,8.196231462964398,5.5145545504728295,-2.9771758492111653,-0.4340952671981606,13.943771908212394
37,37,-34.48696914921638,-13.59129533216417,20.37919612385256,6.664484068059143,3.421432764001372,0.3557509758947187,0.9821886482472388,5.415461961946438
38,38,-36.30278149582071,-11.404163255852062,-16.95012928870868,6.208917650717142,6.180765508245354,2.049419158696613,10.647157762499738,2.583806259490184
39,39,-47.44687722557895,-7.844400957636786,-1.2837378429569477,6.796112549899309,6.154315672415066,-1.655405627014132,3.3593805154547347,9.692277768110053
